,pclass,survived,sex,age,sibsp,parch,fare,embarked
0,3,-1,0,24.0,0,0,7.05,2
1,3,-1,0,25.0,0,0,7.05,2
2,3,-1,0,35.0,0,0,8.05,2
3,3,-1,0,18.0,0,0,8.3,2
4,3,-1,1,19.0,1,0,7.8542,2
5,3,-1,0,32.0,0,0,22.525,2
6,1,-1,0,24.0,0,1,247.5208,0
7,1,-1,1,50.0,0,1,247.5208,0
8,2,-1,0,1.0,2,1,39.0,2
9,2,-1,1,4.0,2,1,39.0,2
10,2,-1,1,12.0,2,1,39.0,2
11,2,-1,1,36.0,0,3,39.0,2
12,2,-1,0,34.0,0,0,13.0,2
13,2,-1,1,19.0,0,0,13.0,2
14,2,-1,0,23.0,0,0,13.0,2
15,2,-1,0,26.0,0,0,13.0,2
16,2,-1,0,42.0,0,0,13.0,2
17,2,-1,0,27.0,0,0,13.0,2
18,3,-1,0,1.0,1,2,20.575,2
19,1,-1,0,53.0,1,1,81.8583,2
20,1,-1,0,4.0,0,2,81.8583,2
21,1,-1,1,54.0,1,1,81.8583,2
22,3,-1,0,40.5,0,0,15.1,2
23,1,-1,1,24.0,3,2,263.0,2
24,1,-1,1,28.0,3,2,263.0,2
25,1,-1,1,23.0,3,2,263.0,2
26,1,-1,0,19.0,3,2,263.0,2
27,1,-1,0,64.0,1,4,263.0,2
28,1,-1,1,60.0,1,4,263.0,2
29,2,-1,0,24.0,2,0,73.5,2
30,2,-1,0,32.0,2,0,73.5,2
31,2,-1,0,21.0,2,0,73.5,2
32,2,-1,1,18.0,1,1,13.0,2
33,2,-1,1,20.0,2,1,23.0,2
34,2,-1,0,23.0,2,1,11.5,2
35,2,-1,0,36.0,0,0,13.0,2
36,2,-1,1,54.0,1,3,23.0,2
37,2,-1,0,1.0,0,2,37.0042,0
38,2,-1,0,31.0,1,1,37.0042,0
39,2,-1,1,24.0,1,1,37.0042,0
40,1,-1,0,62.0,0,0,26.55,2
41,1,-1,1,36.0,0,0,135.6333,0
42,1,1,1,29.0,0,0,211.3375,2
43,1,1,0,0.9167,1,2,151.55,2
44,1,0,1,2.0,1,2,151.55,2
45,1,0,0,30.0,1,2,151.55,2
46,1,0,1,25.0,1,2,151.55,2
47,1,1,0,48.0,0,0,26.55,2
48,1,1,1,63.0,1,0,77.9583,2
49,1,0,0,39.0,0,0,0.0,2
50,1,1,1,53.0,2,0,51.4792,2
51,1,0,0,71.0,0,0,49.5042,0
52,1,0,0,47.0,1,0,227.525,0
53,1,1,1,18.0,1,0,227.525,0
54,1,1,1,24.0,0,0,69.3,0
55,1,1,1,26.0,0,0,78.85,2
56,1,1,0,80.0,0,0,30.0,2
58,1,1,1,32.0,0,0,76.2917,0
59,1,0,0,36.0,0,0,75.2417,0
60,1,1,0,37.0,1,1,52.5542,2
61,1,1,1,47.0,1,1,52.5542,2
62,1,1,0,26.0,0,0,30.0,0
63,1,1,1,42.0,0,0,227.525,0
64,1,1,1,29.0,0,0,221.7792,2
65,1,0,0,25.0,0,0,26.0,0
66,1,1,0,25.0,1,0,91.0792,0
67,1,1,1,19.0,1,0,91.0792,0
68,1,1,1,35.0,0,0,135.6333,2
69,1,1,0,28.0,0,0,26.55,2
70,1,0,0,45.0,0,0,35.5,2
71,1,1,0,40.0,0,0,31.0,0
72,1,1,1,30.0,0,0,164.8667,2
73,1,1,1,58.0,0,0,26.55,2
74,1,0,0,42.0,0,0,26.55,2
75,1,1,1,45.0,0,0,262.375,0
76,1,1,1,22.0,0,1,55.0,2
78,1,0,0,41.0,0,0,30.5,2
79,1,0,0,48.0,0,0,50.4958,0
81,1,1,1,44.0,0,0,27.7208,0
82,1,1,1,59.0,2,0,51.4792,2
83,1,1,1,60.0,0,0,76.2917,0
84,1,1,1,41.0,0,0,134.5,0
85,1,0,0,45.0,0,0,26.55,2
87,1,1,0,42.0,0,0,26.2875,2
88,1,1,1,53.0,0,0,27.4458,0
89,1,1,0,36.0,0,1,512.3292,0
90,1,1,1,58.0,0,1,512.3292,0
91,1,0,0,33.0,0,0,5.0,2
92,1,0,0,28.0,0,0,47.1,2
93,1,0,0,17.0,0,0,47.1,2
94,1,1,0,11.0,1,2,120.0,2
95,1,1,1,14.0,1,2,120.0,2
96,1,1,0,36.0,1,2,120.0,2
97,1,1,1,36.0,1,2,120.0,2
98,1,0,0,49.0,0,0,26.0,2
100,1,0,0,36.0,1,0,78.85,2
101,1,1,1,76.0,1,0,78.85,2
102,1,0,0,46.0,1,0,61.175,2
103,1,1,1,47.0,1,0,61.175,2
104,1,1,0,27.0,1,0,53.1,2
105,1,1,1,33.0,1,0,53.1,2
106,1,1,1,36.0,0,0,262.375,0
107,1,1,1,30.0,0,0,86.5,2
108,1,1,0,45.0,0,0,29.7,0
111,1,0,0,27.0,1,0,136.7792,0
112,1,1,1,26.0,1,0,136.7792,0
113,1,1,1,22.0,0,0,151.55,2
115,1,0,0,47.0,0,0,25.5875,2
116,1,1,1,39.0,1,1,83.1583,0
117,1,0,0,37.0,1,1,83.1583,0
118,1,1,1,64.0,0,2,83.1583,0
119,1,1,1,55.0,2,0,25.7,2
121,1,0,0,70.0,1,1,71.0,2
122,1,1,1,36.0,0,2,71.0,2
123,1,1,1,64.0,1,1,26.55,2
124,1,0,0,39.0,1,0,71.2833,0
125,1,1,1,38.0,1,0,71.2833,0
126,1,1,0,51.0,0,0,26.55,2
127,1,1,0,27.0,0,0,30.5,2
128,1,1,1,33.0,0,0,151.55,2
129,1,0,0,31.0,1,0,52.0,2
130,1,1,1,27.0,1,2,52.0,2
131,1,1,0,31.0,1,0,57.0,2
132,1,1,1,17.0,1,0,57.0,2
133,1,0,0,50.0,1,0,106.425,0
134,1,1,1,27.0,1,1,247.5208,0
135,1,1,1,48.0,1,0,106.425,0
136,1,1,1,48.0,1,0,39.6,0
137,1,1,0,49.0,1,0,56.9292,0
138,1,0,0,39.0,0,0,29.7,0
139,1,1,1,23.0,0,1,83.1583,0
140,1,1,1,38.0,0,0,227.525,0
141,1,1,1,54.0,1,0,78.2667,0
142,1,0,1,36.0,0,0,31.6792,0
146,1,1,0,36.0,0,0,26.3875,2
147,1,0,0,30.0,0,0,27.75,0
148,1,1,1,30.0,0,0,56.9292,0
150,1,1,0,50.0,2,0,133.65,2
151,1,1,0,43.0,1,0,27.7208,0
153,1,1,1,22.0,0,2,49.5,0
154,1,1,0,60.0,1,1,79.2,0
155,1,1,1,48.0,1,1,79.2,0
157,1,0,0,37.0,1,0,53.1,2
158,1,1,1,35.0,1,0,53.1,2
159,1,0,0,47.0,0,0,38.5,2
160,1,1,1,35.0,0,0,211.5,0
161,1,1,1,22.0,0,1,59.4,0
162,1,1,1,45.0,0,1,59.4,0
163,1,0,0,24.0,0,0,79.2,0
164,1,1,0,49.0,1,0,89.1042,0
166,1,0,0,71.0,0,0,34.6542,0
167,1,1,0,53.0,0,0,28.5,0
168,1,1,1,19.0,0,0,30.0,2
169,1,0,0,38.0,0,1,153.4625,2
170,1,1,1,58.0,0,1,153.4625,2
171,1,1,0,23.0,0,1,63.3583,0
172,1,1,1,45.0,0,1,63.3583,0
173,1,0,0,46.0,0,0,79.2,0
174,1,1,0,25.0,1,0,55.4417,0
175,1,1,1,25.0,1,0,55.4417,0
176,1,1,0,48.0,1,0,76.7292,0
177,1,1,1,49.0,1,0,76.7292,0
179,1,0,0,45.0,1,0,83.475,2
180,1,1,1,35.0,1,0,83.475,2
181,1,0,0,40.0,0,0,0.0,2
182,1,1,0,27.0,0,0,76.7292,0
184,1,1,1,24.0,0,0,83.1583,0
185,1,0,0,55.0,1,1,93.5,2
186,1,1,1,52.0,1,1,93.5,2
187,1,0,0,42.0,0,0,42.5,2
189,1,0,0,55.0,0,0,50.0,2
190,1,1,1,16.0,0,1,57.9792,0
191,1,1,1,44.0,0,1,57.9792,0
192,1,1,1,51.0,1,0,77.9583,2
193,1,0,0,42.0,1,0,52.0,2
194,1,1,1,35.0,1,0,52.0,2
195,1,1,0,35.0,0,0,26.55,0
196,1,1,0,38.0,1,0,90.0,2
198,1,1,1,35.0,1,0,90.0,2
200,1,0,1,50.0,0,0,28.7125,0
201,1,1,0,49.0,0,0,0.0,2
202,1,0,0,46.0,0,0,26.0,2
203,1,0,0,50.0,0,0,26.0,2
204,1,0,0,32.5,0,0,211.5,0
205,1,0,0,58.0,0,0,29.7,0
206,1,0,0,41.0,1,0,51.8625,2
208,1,1,0,42.0,1,0,52.5542,2
209,1,1,1,45.0,1,0,52.5542,2
211,1,1,1,39.0,0,0,211.3375,2
212,1,1,1,49.0,0,0,25.9292,2
213,1,1,1,30.0,0,0,106.425,0
214,1,1,0,35.0,0,0,512.3292,0
216,1,0,0,42.0,0,0,26.55,2
217,1,1,1,55.0,0,0,27.7208,0
218,1,1,1,16.0,0,1,39.4,2
219,1,1,1,51.0,0,1,39.4,2
220,1,0,0,29.0,0,0,30.0,2
221,1,1,1,21.0,0,0,77.9583,2
222,1,0,0,30.0,0,0,45.5,2
223,1,1,1,58.0,0,0,146.5208,0
224,1,1,1,15.0,0,1,211.3375,2
225,1,0,0,30.0,0,0,26.0,2
226,1,1,1,16.0,0,0,86.5,2
228,1,0,0,19.0,1,0,53.1,2
229,1,1,1,18.0,1,0,53.1,2
230,1,1,1,24.0,0,0,49.5042,0
231,1,0,0,46.0,0,0,75.2417,0
232,1,0,0,54.0,0,0,51.8625,2
233,1,1,0,36.0,0,0,26.2875,2
234,1,0,0,28.0,1,0,82.1708,0
236,1,0,0,65.0,0,0,26.55,2
237,1,0,0,44.0,2,0,90.0,1
238,1,1,1,33.0,1,0,90.0,1
239,1,1,1,37.0,1,0,90.0,1
240,1,1,0,30.0,1,0,57.75,0
241,1,0,0,55.0,0,0,30.5,2
242,1,0,0,47.0,0,0,42.4,2
243,1,0,0,37.0,0,1,29.7,0
244,1,1,1,31.0,1,0,113.275,0
245,1,1,1,23.0,1,0,113.275,0
246,1,0,0,58.0,0,2,113.275,0
247,1,1,1,19.0,0,2,26.2833,2
248,1,0,0,64.0,0,0,26.0,2
249,1,1,1,39.0,0,0,108.9,0
251,1,1,1,22.0,0,1,61.9792,0
252,1,0,0,65.0,0,1,61.9792,0
253,1,0,0,28.5,0,0,27.7208,0
255,1,0,0,45.5,0,0,28.5,2
256,1,0,0,23.0,0,0,93.5,2
257,1,0,0,29.0,1,0,66.6,2
258,1,1,1,22.0,1,0,66.6,2
259,1,0,0,18.0,1,0,108.9,0
260,1,1,1,17.0,1,0,108.9,0
261,1,1,1,30.0,0,0,93.5,2
262,1,1,0,52.0,0,0,30.5,2
263,1,0,0,47.0,0,0,52.0,2
264,1,1,1,56.0,0,1,83.1583,0
265,1,0,0,38.0,0,0,0.0,2
267,1,0,0,22.0,0,0,135.6333,0
269,1,1,1,43.0,0,1,211.3375,2
270,1,0,0,31.0,0,0,50.4958,2
271,1,1,0,45.0,0,0,26.55,2
273,1,1,1,33.0,0,0,27.7208,0
274,1,0,0,46.0,0,0,79.2,0
275,1,0,0,36.0,0,0,40.125,0
276,1,1,1,33.0,0,0,86.5,2
277,1,0,0,55.0,1,0,59.4,0
278,1,1,1,54.0,1,0,59.4,0
279,1,0,0,33.0,0,0,26.55,2
280,1,1,0,13.0,2,2,262.375,0
281,1,1,1,18.0,2,2,262.375,0
282,1,1,1,21.0,2,2,262.375,0
283,1,0,0,61.0,1,3,262.375,0
284,1,1,1,48.0,1,3,262.375,0
286,1,1,1,24.0,0,0,69.3,0
288,1,1,1,35.0,1,0,57.75,0
289,1,1,1,30.0,0,0,31.0,0
290,1,1,0,34.0,0,0,26.55,2
291,1,1,1,40.0,0,0,153.4625,2
292,1,1,0,35.0,0,0,26.2875,2
293,1,0,0,50.0,1,0,55.9,2
294,1,1,1,39.0,1,0,55.9,2
295,1,1,0,56.0,0,0,35.5,0
296,1,1,0,28.0,0,0,35.5,2
297,1,0,0,56.0,0,0,26.55,2
298,1,0,0,56.0,0,0,30.6958,0
299,1,0,0,24.0,1,0,60.0,2
301,1,1,1,18.0,1,0,60.0,2
302,1,1,0,24.0,1,0,82.2667,2
303,1,1,1,23.0,1,0,82.2667,2
304,1,1,0,6.0,0,2,134.5,0
305,1,1,0,45.0,1,1,134.5,0
306,1,1,1,40.0,1,1,134.5,0
307,1,0,0,57.0,1,0,146.5208,0
309,1,1,0,32.0,0,0,30.5,0
310,1,0,0,62.0,0,0,26.55,2
311,1,1,0,54.0,1,0,55.4417,0
312,1,1,1,43.0,1,0,55.4417,0
313,1,1,1,52.0,1,0,78.2667,0
316,1,0,0,67.0,1,0,221.7792,2
317,1,0,1,63.0,1,0,221.7792,2
318,1,0,0,61.0,0,0,32.3208,2
319,1,1,1,48.0,0,0,25.9292,2
320,1,1,1,18.0,0,2,79.65,2
321,1,0,0,52.0,1,1,79.65,2
322,1,1,1,39.0,1,1,79.65,2
323,1,1,0,48.0,1,0,52.0,2
325,1,0,0,49.0,1,1,110.8833,0
326,1,1,0,17.0,0,2,110.8833,0
327,1,1,1,39.0,1,1,110.8833,0
329,1,1,0,31.0,0,0,28.5375,0
330,1,0,0,40.0,0,0,27.7208,0
331,1,0,0,61.0,0,0,33.5,2
332,1,0,0,47.0,0,0,34.0208,2
333,1,1,1,35.0,0,0,512.3292,0
334,1,0,0,64.0,1,0,75.25,0
335,1,1,1,60.0,1,0,75.25,0
336,1,0,0,60.0,0,0,26.55,2
337,1,0,0,54.0,0,1,77.2875,2
338,1,0,0,21.0,0,1,77.2875,2
339,1,1,1,55.0,0,0,135.6333,0
340,1,1,1,31.0,0,2,164.8667,2
341,1,0,0,57.0,1,1,164.8667,2
342,1,1,1,45.0,1,1,164.8667,2
343,1,0,0,50.0,1,1,211.5,0
344,1,0,0,27.0,0,2,211.5,0
345,1,1,1,50.0,1,1,211.5,0
346,1,1,1,21.0,0,0,26.55,2
347,1,0,0,51.0,0,1,61.3792,0
348,1,1,0,21.0,0,1,61.3792,0
350,1,1,1,31.0,0,0,134.5,0
352,2,0,0,30.0,1,0,24.0,0
353,2,1,1,28.0,1,0,24.0,0
354,2,0,0,30.0,0,0,13.0,2
355,2,0,0,18.0,0,0,11.5,2
356,2,0,0,25.0,0,0,10.5,2
357,2,0,0,34.0,1,0,26.0,2
358,2,1,1,36.0,1,0,26.0,2
359,2,0,0,57.0,0,0,13.0,2
360,2,0,0,18.0,0,0,11.5,2
361,2,0,0,23.0,0,0,10.5,2
362,2,1,1,36.0,0,0,13.0,2
363,2,0,0,28.0,0,0,10.5,2
364,2,0,0,51.0,0,0,12.525,2
365,2,1,0,32.0,1,0,26.0,2
366,2,1,1,19.0,1,0,26.0,2
367,2,0,0,28.0,0,0,26.0,2
368,2,1,1,24.0,0,0,13.0,2
369,2,1,1,15.0,0,2,39.0,2
370,2,0,0,60.0,1,1,39.0,2
371,2,1,1,40.0,1,1,39.0,2
372,2,1,1,20.0,1,0,26.0,2
373,2,0,0,25.0,1,0,26.0,2
374,2,1,1,36.0,0,0,13.0,2
375,2,0,0,25.0,0,0,13.0,2
376,2,0,0,42.0,0,0,13.0,2
377,2,1,1,42.0,0,0,13.0,2
378,2,1,0,0.8333,0,2,29.0,2
379,2,1,0,26.0,1,1,29.0,2
380,2,1,1,22.0,1,1,29.0,2
381,2,1,1,35.0,0,0,21.0,2
383,2,0,0,19.0,0,0,13.0,2
384,2,0,1,44.0,1,0,26.0,2
385,2,0,0,54.0,1,0,26.0,2
386,2,0,0,52.0,0,0,13.5,2
387,2,0,0,37.0,1,0,26.0,2
388,2,0,1,29.0,1,0,26.0,2
389,2,1,1,25.0,1,1,30.0,2
390,2,1,1,45.0,0,2,30.0,2
391,2,0,0,29.0,1,0,26.0,2
392,2,1,1,28.0,1,0,26.0,2
393,2,0,0,29.0,0,0,10.5,2
394,2,0,0,28.0,0,0,13.0,2
395,2,1,0,24.0,0,0,10.5,2
396,2,1,1,8.0,0,2,26.25,2
397,2,0,0,31.0,1,1,26.25,2
398,2,1,1,31.0,1,1,26.25,2
399,2,1,1,22.0,0,0,10.5,2
400,2,0,1,30.0,0,0,13.0,2
402,2,0,0,21.0,0,0,11.5,2
404,2,1,0,8.0,1,1,36.75,2
405,2,0,0,18.0,0,0,73.5,2
406,2,1,1,48.0,0,2,36.75,2
407,2,1,1,28.0,0,0,13.0,2
408,2,0,0,32.0,0,0,13.0,2
409,2,0,0,17.0,0,0,73.5,2
410,2,0,0,29.0,1,0,27.7208,0
411,2,1,1,24.0,1,0,27.7208,0
412,2,0,0,25.0,0,0,31.5,2
413,2,0,0,18.0,0,0,73.5,2
414,2,1,1,18.0,0,1,23.0,2
415,2,1,1,34.0,0,1,23.0,2
416,2,0,0,54.0,0,0,26.0,2
417,2,1,0,8.0,0,2,32.5,2
418,2,0,0,42.0,1,1,32.5,2
419,2,1,1,34.0,1,1,32.5,2
420,2,1,1,27.0,1,0,13.8583,0
421,2,1,1,30.0,1,0,13.8583,0
422,2,0,0,23.0,0,0,13.0,2
423,2,0,0,21.0,0,0,13.0,2
424,2,0,0,18.0,0,0,13.0,2
425,2,0,0,40.0,1,0,26.0,2
426,2,1,1,29.0,1,0,26.0,2
427,2,0,0,18.0,0,0,10.5,2
428,2,0,0,36.0,0,0,13.0,2
430,2,0,1,38.0,0,0,13.0,2
431,2,0,0,35.0,0,0,26.0,2
432,2,0,0,38.0,1,0,21.0,2
433,2,0,0,34.0,1,0,21.0,2
434,2,1,1,34.0,0,0,13.0,2
435,2,0,0,16.0,0,0,26.0,2
436,2,0,0,26.0,0,0,10.5,2
437,2,0,0,47.0,0,0,10.5,2
438,2,0,0,21.0,1,0,11.5,2
439,2,0,0,21.0,1,0,11.5,2
440,2,0,0,24.0,0,0,13.5,2
441,2,0,0,24.0,0,0,13.0,2
442,2,0,0,34.0,0,0,13.0,2
443,2,0,0,30.0,0,0,13.0,2
444,2,0,0,52.0,0,0,13.0,2
445,2,0,0,30.0,0,0,13.0,2
446,2,1,0,0.6667,1,1,14.5,2
447,2,1,1,24.0,0,2,14.5,2
448,2,0,0,44.0,0,0,13.0,2
449,2,1,1,6.0,0,1,33.0,2
450,2,0,0,28.0,0,1,33.0,2
451,2,1,0,62.0,0,0,10.5,2
452,2,0,0,30.0,0,0,10.5,2
453,2,1,1,7.0,0,2,26.25,2
454,2,0,0,43.0,1,1,26.25,2
455,2,1,1,45.0,1,1,26.25,2
456,2,1,1,24.0,1,2,65.0,2
457,2,1,1,24.0,1,2,65.0,2
458,2,0,0,49.0,1,2,65.0,2
459,2,1,1,48.0,1,2,65.0,2
460,2,1,1,55.0,0,0,16.0,2
461,2,0,0,50.0,0,0,13.0,2
462,2,0,0,44.0,1,0,26.0,2
463,2,1,1,29.0,1,0,26.0,2
464,2,0,0,21.0,0,0,73.5,2
465,2,1,0,42.0,0,0,13.0,2
466,2,0,0,63.0,1,0,26.0,2
467,2,0,1,60.0,1,0,26.0,2
468,2,0,0,33.0,0,0,12.275,2
469,2,1,1,17.0,0,0,10.5,2
470,2,0,0,42.0,1,0,27.0,2
471,2,1,1,24.0,2,1,27.0,2
472,2,0,0,47.0,0,0,15.0,2
473,2,0,0,24.0,2,0,31.5,2
474,2,0,0,22.0,2,0,31.5,2
475,2,0,0,32.0,0,0,10.5,2
476,2,1,1,23.0,0,0,13.7917,0
477,2,0,0,34.0,1,0,26.0,2
478,2,1,1,24.0,1,0,26.0,2
479,2,0,1,22.0,0,0,21.0,2
481,2,0,0,35.0,0,0,12.35,1
482,2,1,1,45.0,0,0,13.5,2
483,2,0,0,57.0,0,0,12.35,1
485,2,0,0,31.0,0,0,10.5,2
486,2,0,1,26.0,1,1,26.0,2
487,2,0,0,30.0,1,1,26.0,2
489,2,1,1,1.0,1,2,41.5792,0
490,2,1,1,3.0,1,2,41.5792,0
491,2,0,0,25.0,1,2,41.5792,0
492,2,1,1,22.0,1,2,41.5792,0
493,2,1,1,17.0,0,0,12.0,0
495,2,1,1,34.0,0,0,10.5,2
496,2,0,0,36.0,0,0,12.875,0
497,2,0,0,24.0,0,0,10.5,2
498,2,0,0,61.0,0,0,12.35,1
499,2,0,0,50.0,1,0,26.0,2
500,2,1,1,42.0,1,0,26.0,2
501,2,0,1,57.0,0,0,10.5,2
504,2,0,0,30.0,0,0,13.0,2
505,2,0,0,40.0,0,0,16.0,2
506,2,0,0,32.0,0,0,13.5,2
507,2,0,0,30.0,0,0,13.0,2
508,2,0,0,46.0,0,0,26.0,2
509,2,1,1,13.0,0,1,19.5,2
510,2,1,1,41.0,0,1,19.5,2
511,2,1,0,19.0,0,0,10.5,2
512,2,0,0,39.0,0,0,13.0,2
513,2,0,0,48.0,0,0,13.0,2
514,2,0,0,70.0,0,0,10.5,2
515,2,0,0,27.0,0,0,13.0,2
516,2,0,0,54.0,0,0,14.0,2
517,2,0,0,39.0,0,0,26.0,2
518,2,0,0,16.0,0,0,10.5,2
519,2,0,0,62.0,0,0,9.6875,1
520,2,0,0,32.5,1,0,30.0708,0
521,2,1,1,14.0,1,0,30.0708,0
522,2,1,0,2.0,1,1,26.0,2
523,2,1,0,3.0,1,1,26.0,2
524,2,0,0,36.5,0,2,26.0,2
525,2,0,0,26.0,0,0,13.0,2
526,2,0,0,19.0,1,1,36.75,2
527,2,0,0,28.0,0,0,13.5,2
528,2,1,0,20.0,0,0,13.8625,0
529,2,1,1,29.0,0,0,10.5,2
530,2,0,0,39.0,0,0,13.0,2
531,2,1,0,22.0,0,0,10.5,2
533,2,0,0,23.0,0,0,10.5,2
534,2,1,0,29.0,0,0,13.8583,0
535,2,0,0,28.0,0,0,10.5,2
537,2,1,1,50.0,0,1,26.0,2
538,2,0,0,19.0,0,0,10.5,2
540,2,0,0,41.0,0,0,13.0,2
541,2,1,1,21.0,0,1,21.0,2
542,2,1,1,19.0,0,0,26.0,2
543,2,0,0,43.0,0,1,21.0,2
544,2,1,1,32.0,0,0,13.0,2
545,2,0,0,34.0,0,0,13.0,2
546,2,1,0,30.0,0,0,12.7375,0
547,2,0,0,27.0,0,0,15.0333,0
548,2,1,1,2.0,1,1,26.0,2
549,2,1,1,8.0,1,1,26.0,2
550,2,1,1,33.0,0,2,26.0,2
551,2,0,0,36.0,0,0,10.5,2
552,2,0,0,34.0,1,0,21.0,2
553,2,1,1,30.0,3,0,21.0,2
554,2,1,1,28.0,0,0,13.0,2
555,2,0,0,23.0,0,0,15.0458,0
556,2,1,0,0.8333,1,1,18.75,2
557,2,1,0,3.0,1,1,18.75,2
558,2,1,1,24.0,2,3,18.75,2
559,2,1,1,50.0,0,0,10.5,2
560,2,0,0,19.0,0,0,10.5,2
561,2,1,1,21.0,0,0,10.5,2
562,2,0,0,26.0,0,0,13.0,2
563,2,0,0,25.0,0,0,13.0,2
564,2,0,0,27.0,0,0,26.0,2
565,2,1,1,25.0,0,1,26.0,2
566,2,1,1,18.0,0,2,13.0,2
567,2,1,1,20.0,0,0,36.75,2
568,2,1,1,30.0,0,0,13.0,2
569,2,0,0,59.0,0,0,13.5,2
570,2,1,1,30.0,0,0,12.35,1
571,2,0,0,35.0,0,0,10.5,2
572,2,1,1,40.0,0,0,13.0,2
573,2,0,0,25.0,0,0,13.0,2
574,2,0,0,41.0,0,0,15.0458,0
575,2,0,0,25.0,0,0,10.5,2
576,2,0,0,18.5,0,0,13.0,2
577,2,0,0,14.0,0,0,65.0,2
578,2,1,1,50.0,0,0,10.5,2
